UF,Cidade,Índice
PE,Quixaba,"5,41"
MT,Santo Antônio do Leste,"5,41"
MT,São José do Xingu,"5,41"
SP,São Pedro do Turvo,"5,41"
GO,Senador Canedo,"5,41"
PB,Sobrado,"5,41"
RS,Taquaruçu do Sul,"5,41"
RS,Três Palmeiras,"5,41"
RS,Trindade do Sul,"5,41"
MT,Vila Bela da Santíssima Trindade,"5,41"
ES,Agua Doce do Norte,"5,27"
SP,Anhembi,"5,27"
SP,Araraquara,"5,27"
PB,Araruna,"5,27"
SC,Balneário Gaivota,"5,27"
PB,Barra de Santana,"5,27"
SC,Biguaçu,"5,27"
AM,Boca do Acre,"5,27"
PE,Brejinho,"5,27"
RS,Cândido Godói,"5,27"
MS,Costa Rica,"5,27"
PR,Cruzeiro do Sul,"5,27"
SC,Dona Emma,"5,27"
GO,Hidrolândia,"5,27"
MG,Igaratinga,"5,27"
MA,João Lisboa,"5,27"
PI,Joaquim Pires,"5,27"
RS,Lajeado do Bugre,"5,27"
BA,Lajedão,"5,27"
AM,Manaquiri,"5,27"
MG,Monjolos,"5,27"
TO,Nova Olinda,"5,27"
TO,Palmeiras do Tocantins,"5,27"
RN,Parelhas,"5,27"
GO,Petrolina de Goiás,"5,27"
SP,Pirassununga,"5,27"
PB,Puxinanã,"5,27"
PB,Queimadas,"5,27"
RN,Riacho da Cruz,"5,27"
MA,Santa Luzia do Paruá,"5,27"
RN,Santa Maria,"5,27"
PE,Santa Maria da Boa Vista,"5,27"
GO,Santo Antônio da Barra,"5,27"
SP,Santo Expedito,"5,27"
AL,São Luís do Quitunde,"5,27"
PE,Timbaúba,"5,27"
SC,Turvo,"5,27"
PE,Vicência,"5,27"
MT,Alto Araguaia,"5,13"
PB,Borborema,"5,13"
SP,Cerqueira César,"5,13"
PB,Conceição,"5,13"
SC,Itaiópolis,"5,13"
GO,Itarumã,"5,13"
SC,Monte Castelo,"5,13"
MA,Morros,"5,13"
RS,Nova Petrópolis,"5,13"
SC,Orleans,"5,13"
CE,Palhano,"5,13"
RS,Parobé,"5,13"
MT,Peixoto de Azevedo,"5,13"
GO,Piracanjuba,"5,13"
MT,Ribeirãozinho,"5,13"
RS,Sede Nova,"5,13"
PB,Sertãozinho,"5,13"
RJ,Sumidouro,"5,13"
PB,Tavares,"5,13"
PA,Baião,"5,00"
PB,Bom Jesus,"5,00"
SC,Bom Retiro,"5,00"
TO,Itaporã do Tocantins,"5,00"
MG,Monte Belo,"5,00"
PE,Moreilândia,"5,00"
ES,Muniz Freire,"5,00"
MG,Passos,"5,00"
PE,Petrolina,"5,00"
SP,Pontes Gestal,"5,00"
RS,Santa Maria,"5,00"
PB,Soledade,"5,00"
PB,Tenório,"5,00"
ES,Vargem Alta,"5,00"
PB,Aguiar,"4,86"
AL,Arapiraca,"4,86"
PR,Boa Vista da Aparecida,"4,86"
PA,Breu Branco,"4,86"
PI,Cajazeiras do Piauí,"4,86"
PA,Cametá,"4,86"
RS,Caraá,"4,86"
TO,Carrasco Bonito,"4,86"
MT,Conquista D'Oeste,"4,86"
MT,Cotriguaçu,"4,86"
BA,Feira de Santana,"4,86"
SE,Itaporanga d'Ajuda,"4,86"
PB,Mãe d'Agua,"4,86"
PI,Miguel Leão,"4,86"
RS,Nonoai,"4,86"
RS,Paraí,"4,86"
RS,Restinga Seca,"4,86"
RS,Roque Gonzales,"4,86"
MT,Santo Afonso,"4,86"
PB,São Bentinho,"4,86"
RJ,São José do Vale do Rio Preto,"4,86"
RS,Sinimbu,"4,86"
MT,Sorriso,"4,86"
PE,Tacaimbó,"4,86"
MT,Tangará da Serra,"4,86"
RS,Vale do Sol,"4,86"
PA,Afuá,"4,72"
MG,Campo Florido,"4,72"
RJ,Duque de Caxias,"4,72"
SP,Gália,"4,72"
AM,Guajará,"4,72"
SC,Itajaí,"4,72"
PB,Manaíra,"4,72"
PB,Poço Dantas,"4,72"
SE,Propriá,"4,72"
SP,Santo Anastácio,"4,72"
PB,São José do Brejo do Cruz,"4,72"
PA,Ananindeua,"4,58"
PB,Boqueirão,"4,58"
PB,Cacimba de Areia,"4,58"
MT,Canabrava do Norte,"4,58"
PE,Carnaíba,"4,58"
RS,Gentil,"4,58"
MT,Guiratinga,"4,58"
SP,Holambra,"4,58"
ES,Iúna,"4,58"
PE,Jucati,"4,58"
PB,Malta,"4,58"
PB,Marizópolis,"4,58"
RS,Montauri,"4,58"
BA,Mulungu do Morro,"4,58"
MT,Paranatinga,"4,58"
MT,Pontal do Araguaia,"4,58"
RS,Redentora,"4,58"
CE,Santa Quitéria,"4,58"
SP,Santa Rita do Passa Quatro,"4,58"
PA,São Sebastião da Boa Vista,"4,58"
MT,União do Sul,"4,58"
CE,Uruoca,"4,58"
MG,Abaeté,"4,44"
MG,Alvarenga,"4,44"
TO,Alvorada,"4,44"
RO,Alvorada D'Oeste,"4,44"
GO,Anápolis,"4,44"
RJ,Bom Jardim,"4,44"
PE,Caruaru,"4,44"
MT,Chapada dos Guimarães,"4,44"
MG,Cláudio,"4,44"
ES,Colatina,"4,44"
RO,Cujubim,"4,44"
BA,Elísio Medrado,"4,44"
PR,Figueira,"4,44"
BA,Ibirapitanga,"4,44"
SP,Igaratá,"4,44"
BA,Jacaraci,"4,44"
MT,Jangada,"4,44"
TO,Palmeirante,"4,44"
PB,Serra Branca,"4,44"
PR,Tijucas do Sul,"4,44"
TO,Xambioá,"4,44"
MT,Alta Floresta,"4,30"
MA,Cidelândia,"4,30"
RS,Gravataí,"4,30"
ES,Jerônimo Monteiro,"4,30"
RS,Nova Roma do Sul,"4,30"
PI,Oeiras,"4,30"
MG,Patos de Minas,"4,30"
MG,Periquito,"4,30"
PE,Sanharó,"4,30"
GO,Santa Helena de Goiás,"4,30"
SP,Serrana,"4,30"
TO,Angico,"4,16"
TO,Axixá do Tocantins,"4,16"
RJ,Barra do Piraí,"4,16"
TO,Barrolândia,"4,16"
TO,Bernardo Sayão,"4,16"
MS,Douradina,"4,16"
RS,General Câmara,"4,16"
SP,Iracemápolis,"4,16"
RN,Lagoa Nova,"4,16"
BA,Macururé,"4,16"
ES,Montanha,"4,16"
GO,Novo Brasil,"4,16"
PE,Paranatama,"4,16"
RJ,Rio Bonito,"4,16"
SP,Sarutaiá,"4,16"
RS,Antônio Prado,"4,02"
MT,Apiacás,"4,02"
PE,Arcoverde,"4,02"
SP,Avaré,"4,02"
SP,Braúna,"4,02"
MT,Campinápolis,"4,02"
SP,Campinas,"4,02"
MT,Campos de Júlio,"4,02"
PR,Foz do Iguaçu,"4,02"
MT,Itiquira,"4,02"
MT,Nova Bandeirantes,"4,02"
MT,Nova Monte Verde,"4,02"
MT,Nova Olímpia,"4,02"
SP,Pederneiras,"4,02"
MT,Porto dos Gaúchos,"4,02"
MT,Santa Cruz do Xingu,"4,02"
RJ,São João de Meriti,"4,02"
CE,São Luís do Curu,"4,02"
MT,Tapurah,"4,02"
CE,Alcântaras,"3,88"
MA,Altamira do Maranhão,"3,88"
MG,Alvinópolis,"3,88"
SC,Balneário Barra do Sul,"3,88"
MA,Bela Vista do Maranhão,"3,88"
MA,Buriti Bravo,"3,88"
MG,Caeté,"3,88"
PB,Campina Grande,"3,88"
MA,Chapadinha,"3,88"
