,vl_licitacao,indicador1,indicador2,indicador3,indicador4,Id,Prob,Grupo
1160,"1.610,00","1,0000",0,"0,0000",0,1225,"0,6629",1
1161,"30.221,40","1,0000",1,"0,0000",0,1226,"1,0000",3
1162,"73.700,00","0,9756",0,"0,0000",0,1227,"0,1921",1
1163,"41.902,62","0,9223",0,"0,0000",0,1228,"0,2017",1
1164,"25.844,00","0,5533",0,"0,0000",0,1229,"0,0737",1
1165,"1.437,34","0,9079",0,"0,3300",0,1232,"0,0000",-1
1166,"435.678,62","0,9996",1,"0,0000",0,1233,"0,3874",3
1167,"13.642,50","0,7636",0,"0,0000",0,1234,"0,1344",1
1168,"159,50","45,1411",0,"0,0000",0,1235,"0,0001",1
1169,"45.070,50","1,0000",1,"0,0000",0,1237,"1,0000",3
1170,"193.776,00","0,7902",0,"0,5100",0,1238,"0,0000",-1
1171,"967.695,21","1,0000",0,"0,5000",0,1239,"0,0000",-1
1172,"4.413,00","1,0000",1,"0,0000",0,1240,"1,0000",3
1173,"11.440,00","0,8392",0,"0,0000",0,1241,"0,1657",1
1174,"2.000,00","0,9750",0,"0,0000",0,1242,"0,2525",1
1175,"48.153,14","0,8492",0,"0,0000",0,1243,"0,1521",1
1176,"60.288,21","0,8741",0,"0,0000",0,1244,"0,1430",1
1177,"13.076,64","0,9842",1,"0,0000",0,1245,"1,0000",3
1178,"55.685,10","1,0000",1,"0,0000",0,1246,"1,0000",3
1179,"1.236,60","0,9995",1,"0,0000",0,1247,"1,0000",3
1180,"19.500,00","0,3067",0,"0,0000",1,1248,"1,0000",0
1181,"15.622,10","0,7809",0,"0,0000",0,1249,"0,1466",1
1182,"66.167,36","1,0000",0,"0,6900",0,1250,"1,0000",6
1183,"75.400,00","0,9814",0,"0,0000",0,1251,"0,2286",1
1184,"34.650,00","0,9091",0,"0,0000",0,1252,"0,2112",1
1185,"5.662.790,78","0,9129",0,"0,0000",0,1253,"0,0011",1
1186,"285.600,00","1,0000",1,"0,6900",0,1254,"1,0000",4
1187,"13.002,00","1,0014",0,"0,0000",0,1255,"0,9253",1
1188,"110.688,00","0,8673",0,"0,0000",0,1257,"0,0984",1
1189,"1.255.736,54","1,0000",0,"0,0000",0,1258,"0,0089",1
1190,"7.950,00","0,6667",1,"0,0000",0,1259,"0,3485",3
1191,"33.961,30","0,8719",0,"0,0000",0,1260,"0,1812",1
1192,"39.000,00","0,9192",0,"0,0000",0,1261,"0,2089",1
1193,"30.050,00","0,6988",1,"0,0000",0,1262,"0,4193",3
1194,"16.000,00","0,6000",0,"0,4900",0,1263,"0,0000",-1
